#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
167     0.747  0.966 108.011  -41.166  -44.542   19.913  0.548 -0.184  0.816 -0.548 -0.816  0.184  0.632 -0.548 -0.548
168     0.747  0.965 107.884   55.834  -20.542   12.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
169     0.747  0.965 107.862   14.834  -26.542  -28.087 -0.632  0.548 -0.548 -0.548  0.184  0.816  0.548  0.816  0.184
170     0.747  0.965 107.858   -6.166   60.458   19.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
171     0.746  0.964 107.712    5.834  -27.542   41.913 -0.896 -0.258  0.362  0.258  0.362  0.896 -0.362  0.896 -0.258
172     0.746  0.963 107.660  -49.166  -38.542   16.913  0.258  0.362  0.896  0.362 -0.896  0.258  0.896  0.258 -0.362
173     0.745  0.962 107.490   48.834   26.458   -4.087 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
174     0.745  0.961 107.412   50.834  -19.542    1.913 -0.548  0.548 -0.632 -0.184 -0.816 -0.548 -0.816 -0.184  0.548
175     0.745  0.961 107.389  -52.166   30.458   10.913  0.258  0.362  0.896  0.362 -0.896  0.258  0.896  0.258 -0.362
176     0.744  0.959 107.173   -3.166   39.458   -5.087 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
177     0.744  0.959 107.151    0.834   51.458    5.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
178     0.743  0.958 107.062  -11.166   59.458    2.913  0.548 -0.548  0.632 -0.184 -0.816 -0.548  0.816  0.184 -0.548
179     0.743  0.957 107.003  -19.166   30.458  -24.087 -0.548  0.548  0.632 -0.184 -0.816  0.548  0.816  0.184  0.548
180     0.743  0.957 106.977   50.834  -27.542   -2.087 -0.816 -0.548 -0.184  0.184 -0.548  0.816 -0.548  0.632  0.548
181     0.743  0.957 106.902   56.834  -15.542   29.913 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
182     0.743  0.956 106.854   38.834   34.458   25.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
183     0.743  0.956 106.847   51.834  -24.542    9.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
184     0.742  0.956 106.804  -50.166   15.458   25.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
185     0.742  0.956 106.789  -45.166   29.458   -1.087  0.000  0.604  0.797 -0.000 -0.797  0.604  1.000  0.000  0.000
186     0.740  0.951 106.236   54.834  -16.542   25.913  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
187     0.740  0.951 106.228  -36.166  -39.542   23.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
188     0.740  0.950 106.221   56.834  -22.542   -1.087 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
189     0.740  0.950 106.158   58.834  -21.542   16.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
190     0.740  0.950 106.145  -56.166   29.458    7.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
191     0.739  0.949 106.029   11.834  -50.542   16.913  0.362 -0.258 -0.896  0.258 -0.896  0.362 -0.896 -0.362 -0.258
192     0.739  0.948 105.956    7.834  -62.542   18.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
193     0.739  0.948 105.932   35.834  -32.542    9.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
194     0.738  0.947 105.844   47.834   35.458   15.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
195     0.738  0.946 105.766   48.834   36.458   14.913  0.362  0.258 -0.896 -0.258 -0.896 -0.362 -0.896  0.362 -0.258
196     0.738  0.946 105.681   -3.166   58.458    2.913 -0.896  0.258  0.362 -0.258  0.362 -0.896 -0.362 -0.896 -0.258
197     0.738  0.945 105.620  -48.166   14.458   29.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
198     0.737  0.945 105.588   43.834   40.458   28.913  0.000  0.797 -0.604 -1.000  0.000  0.000 -0.000  0.604  0.797
199     0.737  0.944 105.520   -8.166   61.458   16.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
200     0.737  0.944 105.488   47.834  -19.542   22.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
201     0.737  0.943 105.404  -49.166  -26.542   -3.087 -0.896  0.258  0.362  0.258 -0.362  0.896  0.362  0.896  0.258
